11;1;11;Muusic/Rockic/Mawic/Ombric/Rheic or Folic;mu/rk/mw/om/rh/fo;10
12;1;11;Fibric/Hemic or Sapric;fi/hm/sa;130
15;1;21;Alcalic/Dolomitic/Calcaric/Dystric or Eutric;ax/do/ca/dy/eu;1130
21;2;11;Hydragric/Irragric/Hortic/Plaggic/Pretic or Terric;hg/ir/hat/pa/pk/tr;20
25;2;21;Alcalic/Dolomitic/Calcaric/Dystric or Eutric;ax/do/ca/dy/eu;1130
31;3;11;Ekranic/Thyric/Linic/(Hyper)Urbic/(Hyper)Spolic or (Hyper)Garbic;ek/th/lc/ub/jx/sp/jj/ga/jb;10
35;3;21;Dolomitic/Calcaric/Dystric or Eutric;gp/do/ca/dy/eu;2050
45;4;21;Dolomitic/Calcaric/Dystric or Eutric;gp/do/ca/dy/eu;2050
46;4;21;Epic/Endic or Dorsic;ed/ep/ds;1600
51;5;11;Nudilithic/Dystric or Eutric;nt/dy/eu;20
65;6;21;Epic or Endic;ed/ep;1600
75;7;21;Hypereutric/Alcalic/Dolomitic/Calcaric or Endodystric;je/ax/do/ca/dyn;1650
76;7;21;Epic or Endic;ed/ep;1600
91;9;11;Dolomitic/Calcaric/Dystric or Eutric;do/ca/dy/eu;470
101;10;11;Vitric/Aluandic or Silandic;vi/aa/sn;30
102;10;11;Dystric or Eutric;dy/eu;390
111;11;11;Albic or Entic;ab/et;40
115;11;21;Epic/Endic or Dorsic;ed/ep/ds;1600
125;12;21;Dystric or Eutric;dy/eu;1560
126;12;21;Epic or Endic;ed/ep;1600
131;13;11;Dolomitic/Calcaric/Dystric or Eutric;do/ca/dy/eu;440
141;14;11;Dolomitic/Calcaric/Dystric or Eutric;do/ca/dy/eu;400
151;15;11;Dystric or Eutric;dy/eu;200
155;15;21;Epic or Endic;ed/ep;1600
165;16;21;Dystric or Eutric;dy/eu;1560
166;16;21;Epic/Endic or Dorsic;dy/eu;1600
211;21;11;Dolomitic/Calcaric/Dystric or Eutric;gp/ca/dy/eu;320
215;21;21;Epic or Endic;ed/ep;1600
225;22;21;Epic or Endic;ed/ep;1600
235;23;21;Epic or Endic;ed/ep;1600
241;24;11;Dystric or Eutric;dy/eu;320
245;24;21;Epic or Endic;ed/ep;1600
255;25;21;Epic or Endic;ed/ep;1600
265;26;21;Epic or Endic;ed/ep;1600
275;27;21;Epic or Endic;ed/ep;1600
285;28;21;Epic or Endic;ed/ep;1600
291;29;11;Dolomitic/Calcaric/Dystric or Eutric;gp/do/ca/dy/eu;430
301;30;11;Dolomitic/Calcaric/Dystric or Eutric;gp/do/ca/dy/eu;270
311;31;11;Dolomitic/Calcaric/Dystric or Eutric;gp/do/ca/dy/eu;540
321;32;11;Dolomitic/Calcaric/Dystric or Eutric;gp/do/ca/dy/eu;590
